City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Jinka,ET,2021-04-08 00:00:34,5.65,36.65,63.07,82,68,2.84
236,Graaff-Reinet,ZA,2021-04-08 00:00:35,-32.2522,24.5308,59.0,76,69,1.01
237,Broken Hill,AU,2021-04-08 00:00:35,-31.95,141.4333,75.2,23,0,2.3
238,Statesville,US,2021-04-08 00:00:36,35.7826,-80.8873,78.8,27,1,4.76
239,Byron Bay,AU,2021-04-07 23:58:31,-28.65,153.6167,69.8,94,90,10.36
240,Havelock,US,2021-04-08 00:00:36,34.8791,-76.9013,71.01,46,5,4.76
241,Port Keats,AU,2021-04-08 00:00:37,-14.25,129.55,87.04,62,73,7.65
242,Sinnamary,GF,2021-04-07 23:58:37,5.3833,-52.95,74.88,90,98,1.72
243,Bilma,NE,2021-04-08 00:00:37,18.6853,12.9164,83.84,5,49,6.11
244,Necochea,AR,2021-04-07 23:55:41,-38.5473,-58.7368,75.0,72,68,7.0
245,Iisalmi,FI,2021-04-08 00:00:38,63.5592,27.1907,32.0,86,75,1.14
246,Carnarvon,AU,2021-04-08 00:00:38,-24.8667,113.6333,73.4,78,31,19.57
247,Verkhoyansk,RU,2021-04-08 00:00:39,67.5447,133.385,-6.09,87,50,2.48
248,Alta Floresta,BR,2021-04-08 00:00:40,-9.8756,-56.0861,72.23,93,100,0.63
249,Briancon,FR,2021-04-08 00:00:40,44.9,6.65,36.0,30,0,3.47
250,Tire,TR,2021-04-08 00:00:40,38.0888,27.7351,57.99,82,75,8.05
251,Ribeira Brava,PT,2021-04-08 00:00:41,32.65,-17.0667,61.0,78,98,3.0
252,Thetford Mines,CA,2021-04-07 23:55:52,46.0913,-71.3013,55.4,62,89,5.75
253,Laguna,US,2021-04-08 00:00:41,38.421,-121.4238,70.0,32,40,18.41
254,Buraydah,SA,2021-04-08 00:00:42,26.326,43.975,73.4,21,0,11.5
255,Kavaratti,IN,2021-04-07 23:59:28,10.5669,72.642,83.07,73,25,8.84
256,Japura,ID,2021-04-08 00:00:43,-0.3167,102.35,74.03,97,100,3.27
257,Farafangana,MG,2021-04-08 00:00:43,-22.8167,47.8333,72.86,85,56,4.47
258,Komatipoort,ZA,2021-04-08 00:00:44,-25.4332,31.9548,63.0,82,86,3.44
259,Le Vauclin,MQ,2021-04-08 00:00:44,14.5452,-60.8388,78.8,78,20,4.61
260,Marzuq,YE,2021-04-07 23:57:57,14.4,46.4667,66.25,32,5,4.27
261,Manadhoo,MV,2021-04-08 00:00:45,5.7667,73.3833,82.35,74,51,7.43
262,Krasnoselkup,RU,2021-04-08 00:00:45,65.7,82.4667,26.94,96,100,6.4
